City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
82,Port Lincoln,AU,289.55,-34.7333,135.8667,Port Lincoln Hotel
83,Tura,IN,286.38,25.5198,90.2201,Hotel RIKMAN Continental
84,Portland,US,278.15,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
85,Aitape,PG,298.85,-3.1374,142.3475,
86,Apac,UG,297.29,1.9756,32.5386,Double Duez Apac
87,Sitka,US,274.15,57.0531,-135.33,Westmark Sitka
88,Goure,NE,297.59,13.9835,10.2704,
89,Berlevag,NO,269.15,70.8578,29.0864,Kvitbrakka
90,Hambantota,LK,295.95,6.1241,81.1185,Bungalow 63
91,Upernavik,GL,256.17,72.7868,-56.1549,Gina's Guesthouse - Upernavik
92,Provideniya,RU,259.15,64.3833,-173.3,
93,Tasiilaq,GL,261.15,65.6145,-37.6368,The Red House
94,Westport,US,273.15,41.1415,-73.3579,Norwalk Inn
95,Avarua,CK,303.15,-21.2078,-159.775,Paradise Inn
96,Touros,BR,301.15,-5.1989,-35.4608,INN NEW HORIZON
97,Lakes Entrance,AU,285.93,-37.8811,147.981,The Esplanade Resort & Spa
98,Mataura,NZ,294.82,-46.1927,168.8643,Ellie's Villa
99,Tuatapere,NZ,295.37,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
100,Castro,BR,296.52,-24.7911,-50.0119,CHACARA BAILLY
101,Rovaniemi,FI,269.15,66.5,25.7167,Arctic City Hotel
102,Orange Cove,US,283.15,36.6244,-119.3137,
103,Beira,MZ,300.93,-19.8436,34.8389,Beira Terrace Hotel
104,Saint Anthony,US,266.48,45.0205,-93.21799999999999,Holiday Inn Express Roseville-St. Paul
105,Inhambane,MZ,300.15,-23.865,35.3833,Oceano
106,Isangel,VU,300.15,-19.55,169.2667,Volcano Sea View Tree House
107,Port Augusta,AU,292.15,-32.5,137.7667,Majestic Oasis Apartments
108,Dunedin,NZ,295.37,-45.8742,170.5036,Scenic Hotel Southern Cross
109,Kalaleh,IR,280.59,37.3807,55.4916,عطر و ادکلن پارسیس
110,Araouane,ML,295.82,18.9048,-3.5265,
111,Balkanabat,TM,277.79,39.5108,54.3671,Nebitchi Hotel
112,Nanortalik,GL,264.26,60.1432,-45.2371,Hotel Kap Farvel
113,Lehigh Acres,US,300.37,26.6254,-81.6248,Lehigh Resort Club
114,Okha,RU,252.73,53.5739,142.9478,Империя
115,Saint-Philippe,RE,298.15,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
116,Jardim,BR,302.92,-21.4803,-56.1381,Estancia Hotel - Jardim MS
117,Eureka,US,279.26,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
118,Surin,TH,296.48,14.8818,103.4936,One Fu Hotel
119,Hailar,CN,249.35,49.2,119.7,Holiday Inn & Suites Hulunbuir
120,Atuona,PF,298.79,-9.8,-139.0333,Villa Enata
121,Srednekolymsk,RU,238.55,67.45,153.6833,
122,Beloha,MG,297.0,-25.1667,45.05,
123,Mount Gambier,AU,284.15,-37.8333,140.7667,Commodore on the Park
124,Nikolskoye,RU,274.82,59.7035,30.7861,Tourist House - Sablino
125,Korla,CN,266.47,41.7597,86.1469,Gulisitan Hotel
126,Diebougou,BF,300.43,10.9667,-3.25,Hotel Le Consulat
127,Ukiah,US,278.15,39.1502,-123.2078,Hampton Inn Ukiah
128,Hithadhoo,MV,299.08,-0.6,73.0833,Scoop Guest House
129,Puerto Ayora,EC,299.26,-0.7393,-90.3518,Castillo Galapagos
130,Nouadhibou,MR,293.15,20.930999999999997,-17.0347,El Medina
131,Nautla,MX,299.65,20.2167,-96.7833,Casa Blanca
132,Bandarbeyla,SO,295.83,9.4942,50.8122,JABIR HOTEL
133,Qinzhou,CN,289.0,21.95,108.6167,Jinjiang Inn Style Qingzhou Walmart
134,Poum,NC,300.11,-20.2333,164.0167,Gîte kajeon
135,Bethel,US,271.15,41.3712,-73.414,Courtyard by Marriott Danbury
136,Kruisfontein,ZA,295.37,-34.0033,24.7314,Oyster Bay House Rental
137,Majene,ID,298.92,-3.5403,118.9707,Kost Putri RABBANI
138,Gondanglegi,ID,297.08,-7.7479,112.0132,Gg. Munasir Homestay
139,New Norfolk,AU,284.82,-42.7826,147.0587,The Shingles Riverside Cottages
140,Zhuhai,CN,292.15,22.2769,113.5678,珠海粤财假日酒店
141,Novaya Lyalya,RU,268.24,59.055,60.599,Taezhnaya Ros'
142,Lebu,CL,288.57,-37.6167,-73.65,Hostal Las Lilas
143,Constitucion,CL,292.23,-35.3333,-72.4167,Hotel Boutique Las Azucenas
